,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,13,8,36,12,15,37,67,3,43,12,40,16.30%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
,GEN,Bendavid,,,,,,1,,,,,,
,BTV,Schmidt,,1,,,,,,,,,,
,BTV,Scodellaro,,,,,,,,,1,,,
,TRK,Cerati,,,,,,,1,,,,,
,TRK,Rovere,,,,,,1,,,,,,
Total 2014,,,1,1,2,1,0,3,4,0,2,0,1,7.10%
2015,EGM,Sani,,,,,,,1,,,,,
,EGM,Gray,,,,,,,1,,,,,
,JME,Kousouris,,,,,,1,,,,,,
,JME,Voutilainen,,,,,,,,,1,,,
,TAU,Jez,,,,,,,,,1,,,
,TAU,Veelken,1,,,,,,,,,,,
,MUO,Battilana,,,1,,,,,,,,,
,MUO,Trocino,,,,,,,1,,,,,
,GEN,Bendavid,,,,,,1,,,,,,
,GEN,Covarelli,,,,,,,1,,,,,
,BTV,van Mulders,,,,,,,,,1,,1,
,BTV,Scodellaro,,,,,,,,,1,,,
,TRK,Innocente,,,,,,1,,,,,,
,TRK,Rovere,,,,,,1,,,,,,
Total 2015,,,1,0,1,0,0,4,4,0,4,0,1,7.10%
2016,EGM,Sani,,,,,,,1,,,,,
,EGM,Couderc,1,,,,,,,,,,,
,JME,Kousouris,,,,,,1,,,,,,
,JME,Marionneau,,,,,1,,,,,,,
,TAU,Bluj,,,,,,,,,1,,,
,TAU,Veelken,,,,,,,,,1,,,
,MUO,Battilana,,,1,,,,,,,,,
,MUO,Brun,,,,,,,,,1,,,
,GEN,Covarelli,,,,,,,1,,,,,
,GEN,Govoni,,,1,,,,,,,,,
,BTV,van Mulders,,,,,,,,,1,,1,
,BTV,Collard,1,,,,,,,,,,1,
,TRK,Innocente,,,,,,1,,,,,,
,TRK,Rovere,,,,,,1,,,,,,
Total 2016,,,2,0,2,0,1,3,2,0,4,0,2,14.30%
2017,EGM,Paramatti,,,1,,,,,,,,,
,EGM,Couderc,1,,,,,,,,,,,
,JME,Sharma,,,,,,,,,,1,1,
,JME,Schoefbeck,,,,,,,,1,,,,
,TAU,Bluj,,,,,,,,,1,,,
,TAU,Ojalvo,,,,,,,1,,,,1,
,MUO,Calderon,,,,,,,,,1,,1,
,MUO,Brun,,,,,,,,,1,,,
,GEN,Perrozi,,,,,1,,,,,,,
,GEN,Govoni,,,1,,,,,,,,,
,BTV,Marchesini,,1,,,,,,,,,,
,BTV,Collard,,,,,,,,,1,,1,
,TRK,Innocente,,,,,,1,,,,,,
,TRK,Rovere,,,,,,1,,,,,,
Total 2017,,,1,1,2,0,1,2,1,1,4,1,4,28.60%
2018,EGM,Paramatti,,,1,,,,,,,,,
,EGM,Harper,,,,1,,,,,,,,
,JME,Sharma,,,,,,,,,,1,1,
,JME,Demiragli,,,,,,,1,,,,1,
,TAU,Steggemann,,,,,,1,,,,,,
,TAU,Ojalvo,,,,,,,1,,,,1,
,MUO,Calderon,,,,,,,,,1,,1,
,MUO,Kovalskyi,,,,,,,1,,,,,
,GEN,Perrozi,,,,,1,,,,,,,
,GEN,Yazgan,,,,,,,,,,1,,
,BTV,Marchesini,,1,,,,,,,,,,
,BTV,Skovpen,,,,,,,,,1,,,
,TRK,Innocente,,,,,,1,,,,,,
,TRK,Kortelainen,,,,,,,1,,,,,
,LUM,Palmer,,,,,,,1,,,,,
,LUM,Lujan,,,,,,,1,,,,,
Total 2018,,,0,1,1,1,1,2,6,0,2,2,4,25.00%
2019,EGM,Soffi,,,,,,,1,,,,1,
