role,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women
2019,Office,Carlin,,,1,,,,,,,,
DSP,Office,McBride,,,,,,,1,,,,1
DSP,Office,Malgeri,,,,,,1,,,,,
Phys,Office,Bose,,,,,,,1,,,,1
Phys,Office,Adam,,,,,,,,,1,,
Offline?comp,Office,Klute,,,,,,,1,,,,
Offline?comp,Office,Boccali,,,1,,,,,,,,
Trigger,Office,Pieri,,,,,,,1,,,,
Trigger,Office,Gennai,,,1,,,,,,,,
Run,Office,Silvestris,,,1,,,,,,,,1
Run,Office,Paramavesaran,,,,1,,,,,,,
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
PubCom,Office,Klima,,,,,,,1,,,,
PPD,Office,Franzoni,,,,,,1,,,,,
PPD,Office,Srimanhobas,,,,,,,,,,1,
Upgrade,Office,Hartmann,,1,,,,,,,,,
UP tech,Office,Garrido,,,,,,1,,,,,1
,,,,,,,,,,,,,
total adm,,,0,1,3,1,0,5,4,0,3,1,3
2020,Office,Carlin,,,1,,,,,,,,
DSP,Office,McBride,,,,,,,1,,,,1
DSP,Office,Malgeri,,,,,,1,,,,,
Phys,Office,Pieri,,,,,,,1,,,,
Phys,Office,Adam,,,,,,,,,1,,
Offline?comp,Office,Piparo,,,,,,1,,,,,
Offline?comp,Office,Klute,,,,,,,1,,,,
Trigger,Office,Harper,,,,1,,,,,,,
Trigger,Office,Gennai,,,1,,,,,,,,
Run,Office,Silvestris,,,1,,,,,,,,1
Run,Office,Vormwald,,,,,,,,,1,,
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
PPD,Office,Meyer,,,,,,,,,1,,
PPD,Office,Srimanhobas,,,,,,,,,,1,
PubCom,Office,Klima,,,,,,,1,,,,
Upgrade,Office,Hartmann,,1,,,,,,,,,
UP tech,Office,Garrido,,,,,,1,,,,,1
,,,,,,,,,,,,,
total adm,,,2,1,2,1,0,5,6,0,1,0,3
2021,Office,Malgeri,,,,,,1,,,,,
DSP,Office,Olsen,,,,,,,1,,,,
DSP,Office,Monchenault,1,,,,,,,,,,
Phys,Office,Rizzi,,,1,,,,,,,,
Phys,Office,Pieri,,,,,,,1,,,,
Offline?comp,Office,Letts,,,,,,,1,,,,
Offline?comp,Office,Piparo,,,,,,1,,,,,
Trigger,Office,Acosta,,,,,,,1,,,,
Trigger,Office,Harper,,,,1,,,,,,,
Run,Office,Boudoul,1,,,,,,,,,,1
Run,Office,Masetti,,,1,,,,,,,,
Tech,Office,Zeuner,,,,,,1,,,,,
Dtech,Office,T…..,,,,,,1,,,,,1
PubCom,Office,Klima,,,,,,,1,,,,
PPD,Office,Rappoccio,,,,,,,1,,,,
PPD,Office,Meyer,,,,,,,,,1,,
Upgrade,Office,Hartmann,,1,,,,,,,,,
UP tech,Office,Garrido,,,,,,1,,,,,1
,,,,,,,,,,,,,
total adm,,,2,1,3,0,1,4,6,0,0,0,4
2022,Office,Malgeri,,,,,,1,,,,,
DSP,Office,Olsen,,,,,,,1,,,,
DSP,Office,Monchenault,1,,,,,,,,,,
Phys,Office,Rizzi,,,1,,,,,,,,
Phys,Office,Canelli,,,,,1,,,,,,1
Offline?comp,Office,Letts,,,,,,,1,,,,
Offline?comp,Office,Piparo,,,,,,1,,,,,
Trigger,Office,Acosta,,,,,,,1,,,,
Trigger,Office,Donato,,,1,,,,,,,,
Run,Office,Boudoul,1,,,,,,,,,,1
Run,Office,Masetti,,,1,,,,,,,,
Tech,Office,Zeuner,,,,,,1,,,,,
Upg Tech,Office,Tropea,,,,,,1,,,,,1
PubCom,Office,Klima,,,,,,,1,,,,
PPD,Office,Rappoccio,,,,,,,1,,,,
PPD,Office,Maeshima,,,,,,,1,,,,1
Upgrade,Office,Hartmann,,1,,,,,,,,,
